2026-04-12 01:03:14,956 | DEBUG    | asyncio | Using selector: SelectSelector
2026-04-12 01:03:15,000 | INFO     | main | Starting SuperAgent backend...
2026-04-12 01:03:15,000 | INFO     | app.services.base.base_service | ConversationService initialising...
2026-04-12 01:03:15,000 | INFO     | app.services.base.base_service | ConversationService ready.
2026-04-12 01:03:15,000 | INFO     | app.services.llm_service | LLMService initialised: model=gemini/gemini-1.5-flash, temperature=0.60
2026-04-12 01:03:15,000 | INFO     | app.services.base.base_service | LLMService initialising...
2026-04-12 01:03:15,000 | INFO     | app.services.base.base_service | LLMService ready.
2026-04-12 01:03:15,000 | WARNING  | app.services.composio_service | ComposioService: COMPOSIO_API_KEY is empty - service will remain uninitialised.
2026-04-12 01:03:15,075 | DEBUG    | watchfiles.main | 6 changes detected: {(<Change.added: 1>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\__pycache__\\main.cpython-311.pyc.2461358165424'), (<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\__pycache__'), (<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log'), (<Change.deleted: 3>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\__pycache__\\main.cpython-311.pyc'), (<Change.added: 1>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\__pycache__\\main.cpython-311.pyc'), (<Change.deleted: 3>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\__pycache__\\main.cpython-311.pyc.2461358165424')}
2026-04-12 01:03:15,429 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:15,830 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:16,233 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:16,253 | INFO     | app.services.base.base_service | GeminiEmbeddingService initialising...
2026-04-12 01:03:16,253 | INFO     | app.services.base.base_service | GeminiEmbeddingService ready.
2026-04-12 01:03:16,253 | INFO     | app.services.gemini_embedding_service | GeminiEmbeddingService ready: model=gemini-embedding-001, dimension=768
2026-04-12 01:03:16,253 | INFO     | app.services.base.base_service | EmbeddingService initialising...
2026-04-12 01:03:16,253 | INFO     | app.services.base.base_service | EmbeddingService ready.
2026-04-12 01:03:16,253 | INFO     | app.services.chromadb_service | Connecting to local ChromaDB (persistent storage)...
2026-04-12 01:03:16,333 | DEBUG    | chromadb.config | Starting component System
2026-04-12 01:03:16,333 | DEBUG    | chromadb.config | Starting component Posthog
2026-04-12 01:03:16,355 | INFO     | app.services.chromadb_service | Using existing ChromaDB collection 'superagent_rag' (count=0)
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | ChromaDBService initialising...
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | ChromaDBService ready.
2026-04-12 01:03:16,355 | INFO     | app.services.chromadb_service | ChromaDBService ready: collection=superagent_rag, embedding_dim=768
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | PDFService initialising...
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | PDFService ready.
2026-04-12 01:03:16,355 | INFO     | app.services.pdf_service | PDFService ready: chunk_size=1000, chunk_overlap=200, max_file_mb=50
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | ToolExecutor initialising...
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | ToolExecutor ready.
2026-04-12 01:03:16,355 | INFO     | app.services.base.base_service | SuperAgentService initialising...
2026-04-12 01:03:16,362 | INFO     | app.services.base.base_service | SuperAgentService ready.
2026-04-12 01:03:16,362 | INFO     | main | All services ready.
